matchId,participantId,puuid,riotIdGameTag,riotIdTagline,queueId,assists,champLevel,championId,championName,creepScore,creepScorePerMinute,damageDealthToBuildings,deaths,dragonKills,goldEarned,goldPerMinute,kda,kills,killParticipation,item0,item1,item2,item3,item4,item5,item6,neutralMinionsKilled,role,soloKills,teamId,teamPosition,totalDamageDealt,totalDamageTaken,totalMinionsKilled,visionScore,visionScorePerMinute,wardsKilled,wardsPlaced,win,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,voidMonsterKill,objectiveRate,xpDiffAt15,goldDiffAt15,csDiffAt15,damageShare,visionScoreShare,proximityToAdc,summoner1Id,summoner2Id,primaryPerkId,secondaryPerkStyleId
SG2_115066210,1,3HsHPmnFqGrKuUJcW99SI3SGKBCFEjXttwaOY5gEBkGqbCAQLUkFtP1f_PTdfiuBcFskF-1w8SLL5g,NayNay,9290,420,5,16,904,Zaahen,234,8.04,6257,8,0,12771,438.87,1.13,4,56.25,6610,3047,3053,3748,1053,1042,3340,4,CARRY,1,100,TOP,178800,50918,230,34,1.168,6,12,L,0,0,0,0,0.00,NULL,NULL,NULL,903.84,NULL,NULL,12,4,8010,8400
SG2_115066210,2,1d8b-rBsjZRZXiz0o1GbO6AX-zGmQXpiPV-SDZsL57mqLesRgD4EcYSdvlbURZwsFPyEeswNYwHTjA,peanutpool,chonk,420,4,15,876,Lillia,186,6.39,0,6,0,12003,412.47,1.67,6,62.50,3020,6653,3157,2055,4633,1028,3364,158,NONE,2,100,JUNGLE,252645,44734,28,32,1.100,6,8,L,0,0,0,0,0.00,NULL,NULL,NULL,1086.10,NULL,NULL,4,11,8010,8300
SG2_115066210,3,GwN3RZ-a9d2Tg0X7116dk9JhxTu6TLGnaRoPinJOlaoKb6J35dCVXxuDRKHGeGM11L0iA3HzZy6t3w,"French Machine",Paris,420,0,16,901,Smolder,224,7.70,2690,10,0,11095,381.27,0.20,2,12.50,3031,3158,3508,1018,NULL,3094,3363,11,NONE,1,100,MIDDLE,148021,22754,213,22,0.756,2,10,L,0,0,0,0,0.00,NULL,NULL,NULL,490.70,NULL,NULL,4,12,8021,8400
SG2_115066210,4,Q3PrpvMVVJ2OjDy0_XDqC0dBkCXS39_oJ2NjCHXVqR1k_fSzt6Dga6GoLwocTadto9VA5ODH-jCxjw,Usagi,爱77,420,0,14,523,Aphelios,222,7.63,3445,6,0,12771,438.87,0.67,4,25.00,1055,6676,3006,3036,3031,3086,3363,16,SOLO,0,100,BOTTOM,145092,19763,206,18,0.619,3,7,L,0,0,0,0,0.00,NULL,NULL,NULL,412.30,NULL,NULL,4,12,8005,8300
SG2_115066210,5,cn63r0SUUAyKN9qZIvd5r5gcPjZXQDDO7ElQV6wdfLQp-8EnuC4nTOZpJxUyyThKaFn8IG-9KLJdTw,Kalachuchi,Wendy,420,10,12,201,Braum,29,1.00,485,6,0,7297,250.76,1.67,0,62.50,3190,3107,3869,1029,1028,3047,3364,0,SUPPORT,0,100,UTILITY,18644,24282,29,79,2.715,8,33,L,0,0,0,0,0.00,NULL,NULL,NULL,231.13,NULL,NULL,7,4,8465,8300
SG2_115066210,6,IBsa8Gv53h4lr2jPWE9p6NbOYHSDPmv0-wboxjM56RzjF2wei18hAuw1vA--nmhADYx_iwXOyIKy9w,EmotionalDmg,"SG 2",420,15,17,54,Malphite,188,6.46,1946,3,0,11858,407.49,7.00,6,58.33,3174,3068,3075,3211,1054,1057,3340,0,SOLO,1,200,TOP,159685,25600,188,21,0.722,2,10,W,0,0,0,0,0.00,NULL,NULL,NULL,990.21,NULL,NULL,12,4,8437,8200
SG2_115066210,7,zN9ywg_5QYHMzFj2I1MIg73Ne00qub39fsYBzzdlIpM0PGB0C5XwZcpqMokTMgjFDhZ8XvozG3VRTA,gororo,ninja,420,10,17,104,Graves,213,7.32,4454,4,3,16269,559.07,6.75,17,75.00,3094,6697,6676,3009,1055,3031,3364,163,NONE,1,200,JUNGLE,277281,31471,50,49,1.684,8,8,W,0,0,0,0,0.00,NULL,NULL,NULL,1327.04,NULL,NULL,11,4,8128,8300
SG2_115066210,8,z9EN2LuSFCtmJO8OMFvlZJRAzVpayJLt6TSO1FyI8XYqgdU9AbMn0dj359A5O4OGITVnOShfgTcF-w,王翊恩,en2,420,14,16,157,Yasuo,227,7.80,10222,3,1,14483,497.70,7.33,8,61.11,3153,6673,3031,1038,1055,3006,3340,20,SOLO,2,200,MIDDLE,227052,26333,207,27,0.928,2,12,W,1,0,0,0,0.00,NULL,NULL,NULL,1098.82,NULL,NULL,4,3,8008,8300
SG2_115066210,9,V0WICYeUbMcxjUFOVuLOCdiOd8iCDgBKZmrLEtbMLhNgzNa7Ich9B3WwkQi6nL7jmGAXi80g2KStqA,"Sharon Vineyard",2999,420,8,17,45,Veigar,252,8.66,4334,3,0,13245,455.15,4.00,4,33.33,1056,6657,3171,3040,1058,1058,3363,4,CARRY,0,200,BOTTOM,185984,19088,248,22,0.756,3,10,W,0,0,0,0,0.00,NULL,NULL,NULL,727.42,NULL,NULL,12,4,8369,8200
SG2_115066210,10,MkdbpBfl7IhRTg-Uro0H-o1u9rP-Oldu-rtY0p_GEs0PmLTTY_yTrZNFRPubDpRBafhJKV5iv8Yr6w,Divineee,839,420,22,13,497,Rakan,31,1.07,566,3,0,8472,291.13,7.67,1,63.89,3869,3190,3107,2055,3067,3171,3364,0,SUPPORT,0,200,UTILITY,16116,19864,31,64,2.199,10,24,W,0,0,0,0,0.00,NULL,NULL,NULL,233.37,NULL,NULL,4,7,8360,8100
