matchId,participantId,puuid,riotIdGameTag,riotIdTagline,queueId,assists,champLevel,championId,championName,creepScore,creepScorePerMinute,damageDealthToBuildings,deaths,dragonKills,goldEarned,goldPerMinute,kda,kills,killParticipation,item0,item1,item2,item3,item4,item5,item6,neutralMinionsKilled,role,soloKills,teamId,teamPosition,totalDamageDealt,totalDamageTaken,totalMinionsKilled,visionScore,visionScorePerMinute,wardsKilled,wardsPlaced,win,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,voidMonsterKill,objectiveRate,xpDiffAt15,goldDiffAt15,csDiffAt15,damageShare,visionScoreShare,proximityToAdc,summoner1Id,summoner2Id,primaryPerkId,secondaryPerkStyleId
SG2_130910891,1,z5xUowQMrK1qzxBRn3SrY5T8AhAMUnWr76sR0p7rpE4PFd0BgCBfOZEs_VTs665pHPPyLw1sdO9CTg,"Nakamura Kazuha",LSFRM,420,0,12,904,Zaahen,110,6.73,2970,3,0,5820,355.96,1.00,3,50.00,2031,3078,1029,2021,1054,1001,3340,0,SUPPORT,1,100,TOP,48732,13937,110,15,0.917,1,6,L,0,0,0,0,0.00,NULL,NULL,NULL,497.41,NULL,NULL,4,14,8010,8400
SG2_130910891,2,VdF3eTKhOw-K559I4KMn-N2-A2uFOedkoIIBZC9-a-T7cAKXE_LTuvwyG56UeVZiXZTAbM9avL8XCw,GeForceRTX5090,24GB,420,4,11,234,Viego,126,7.71,0,1,0,6110,373.70,5.00,1,83.33,6672,3134,NULL,2422,NULL,1037,3364,111,SUPPORT,0,100,JUNGLE,133502,9502,15,23,1.407,2,6,L,0,0,0,0,0.00,NULL,NULL,NULL,267.09,NULL,NULL,4,11,8010,8300
SG2_130910891,3,YnBSlaJoJo2G9B7jXGN49ZujbelQXZMrZUfCvMT4aFupOH3_4aZyzPYCcJDDrzbaV0ZbhhXO_fhyIw,Mitsurin,Jg1,420,0,11,13,Ryze,153,9.36,917,2,0,6139,375.47,1.00,2,33.33,1056,3802,3070,6657,1001,3108,3340,0,DUO,0,100,MIDDLE,69677,9693,153,17,1.040,1,8,L,0,0,0,0,0.00,NULL,NULL,NULL,220.86,NULL,NULL,12,4,8230,8400
SG2_130910891,4,SgMNWDq7Lt1zX8bSJGstFqWWbpwV8MB8hewEbQbmoVXWr61Sg0x7LyeYusAw8wahE1fcr2K06m2L9w,harvs,21k,420,2,9,42,Corki,111,6.79,0,2,0,4731,289.36,1.00,0,33.33,1055,3044,3070,1001,3057,1036,3340,0,SUPPORT,0,100,BOTTOM,41571,6913,111,19,1.162,2,9,L,0,0,0,0,0.00,NULL,NULL,NULL,228.57,NULL,NULL,4,21,8010,8300
SG2_130910891,5,xCQKjPD7eJz2Ghdi2PDk_xU-5VtzNarNlax8EIKwPQYn5wGejJDy-kchQsu-MqHgStEzRsatU50GQA,Raychel,uwuuw,420,3,8,99,Lux,38,2.32,0,3,0,4008,245.14,1.00,0,50.00,3870,3070,6620,1001,2022,NULL,3364,2,SUPPORT,0,100,UTILITY,19771,7998,36,24,1.468,3,10,L,0,0,0,0,0.00,NULL,NULL,NULL,207.40,NULL,NULL,7,4,8214,8400
SG2_130910891,6,ei-frH8QUA2xjag2HWP-dcfrlaV7hy6Ow0Uc8NeFYXroOVKeHcpR7gDmu77UbdXP4Hnbn1Dx3PWI9A,Arima,Krim,420,2,12,41,Gangplank,146,8.93,4754,3,0,7800,477.06,1.33,2,36.36,1055,6676,2031,3508,3158,NULL,3363,0,SUPPORT,2,200,TOP,89304,11495,146,11,0.673,1,6,W,0,0,0,0,0.00,NULL,NULL,NULL,757.12,NULL,NULL,4,14,8369,8000
SG2_130910891,7,QN1rCpjNJ3cAlUirenH3bLaEMz40XYXb4rwX5N065n3uUNghLp9H8u16MHGJOFx6ls3ZEq43D33rHw,艾斯卡诺,0517i,420,2,11,107,Rengar,151,9.24,3150,1,2,7305,446.79,4.00,2,36.36,2422,6698,3035,1036,NULL,NULL,3364,144,SUPPORT,1,200,JUNGLE,171486,11250,7,13,0.795,2,5,W,0,0,0,0,0.00,NULL,NULL,NULL,391.98,NULL,NULL,11,4,8010,8300
SG2_130910891,8,g2WD4urF9ALK4Ytas95rudM09JcBZCFhcUdEUzf6i91hgyHk3kU6rAh4KVy2tOPBU9gb2bPv-Z_9KQ,SUNGJINWOO,4082,420,2,12,112,Viktor,152,9.30,3014,1,0,7415,453.52,4.00,2,36.36,NULL,3145,1056,6655,3175,NULL,3363,0,SUPPORT,1,200,MIDDLE,78347,3621,152,15,0.917,1,8,W,0,0,0,0,0.00,NULL,NULL,NULL,532.51,NULL,NULL,12,4,8369,8200
SG2_130910891,9,Zxd5FABKyBOnH_7JEAPB4MAbeWxrFTDRjq9edeoV_qjnXJzIrAZvCuTGNgSH6fNjy-hzcsVR5AmiLg,5star,prod,420,1,11,51,Caitlyn,164,10.03,12032,0,0,8141,497.92,4.00,3,36.36,1055,2523,1038,NULL,NULL,1037,3363,0,SUPPORT,0,200,BOTTOM,103730,3683,164,11,0.673,1,6,W,0,0,0,0,0.00,NULL,NULL,NULL,525.99,NULL,NULL,4,21,8021,8200
SG2_130910891,10,sxeBfavGhJ17BjR9yJBPArFyEymw88yTWKtlMKPpH9Vecs0wb82aSdh9RmeKwCvbSTkJUqmZZ3Y9Tw,sdgod77,4399,420,4,8,53,Blitzcrank,22,1.35,589,1,0,5298,324.04,6.00,2,54.55,3876,2524,NULL,NULL,3158,NULL,3364,0,SUPPORT,0,200,UTILITY,10900,7375,22,39,2.385,5,18,W,0,0,0,0,0.00,NULL,NULL,NULL,216.42,NULL,NULL,4,14,8351,8400
SG2_138477569,1,TB-1Qq8oJK8S6KB7HdHC4nuH3fXiRBolFXmjpegcMGgEAmQ39ny88h9HaOb5_Whru62dSTvUvjn_6Q,Warp,wow,420,3,20,24,Jax,302,8.04,26874,3,1,16897,449.79,3.67,8,37.93,3082,3078,3157,6610,3053,3047,3340,4,NONE,1,100,TOP,244953,45167,298,38,1.012,2,16,L,0,0,0,0,0.00,NULL,NULL,NULL,945.77,NULL,NULL,4,12,8437,8300
SG2_138477569,2,Zxd5FABKyBOnH_7JEAPB4MAbeWxrFTDRjq9edeoV_qjnXJzIrAZvCuTGNgSH6fNjy-hzcsVR5AmiLg,5star,prod,420,11,18,64,LeeSin,232,6.18,3633,8,1,16455,438.02,2.88,12,79.31,6698,6696,1038,3036,3814,3047,3340,209,NONE,3,100,JUNGLE,347304,36896,23,34,0.905,1,20,L,1,0,0,0,0.00,NULL,NULL,NULL,904.14,NULL,NULL,4,11,8128,8300
SG2_138477569,3,7Pv0SW1HWULENE_GWxDrjNTtFMEq2JZ7JunbyRiedMVUzsNDLqNki7x4ZL415jVWBcwV5blgdXqWrg,父亲点燃它420,saket,420,11,18,517,Sylas,248,6.60,7887,6,0,13204,351.48,2.33,3,48.28,3152,3157,3175,4630,1082,4645,3364,4,CARRY,0,100,MIDDLE,191784,35180,244,15,0.399,3,3,L,1,0,0,0,0.00,NULL,NULL,NULL,841.84,NULL,NULL,14,4,8112,8300
SG2_138477569,4,9nLgqf_5rX-Vv2qYsyLHNR2p-KhTekbXmMVfUDBA3bDBVwgw22rwTOdGlCz43j5ClZUdJMvtvabqEQ,Moons,VDD,420,10,16,45,Veigar,273,7.27,5266,7,0,14880,396.10,1.71,2,41.38,3089,6655,3143,4630,4646,NULL,3363,0,SOLO,0,100,BOTTOM,251778,25261,273,25,0.665,6,14,L,0,0,0,0,0.00,NULL,NULL,NULL,840.26,NULL,NULL,4,12,8369,8200
SG2_138477569,5,iP5EEVAXmGfx2lZHvbA5taeYXNoqfYWP6O9bgZ3GUhrNt1JTqdN84zFeb6S0ApMmT6to4OfplGOx_g,Sonaria,Sunny,420,18,15,412,Thresh,32,0.85,1400,9,0,11535,307.05,2.44,4,75.86,3876,3107,3109,3050,1057,3009,3364,0,SUPPORT,0,100,UTILITY,29820,36858,32,139,3.700,14,51,L,0,0,0,0,0.00,NULL,NULL,NULL,383.62,NULL,NULL,14,4,8351,8400
SG2_138477569,6,0U9TSVyhe_bhb1qncsiH-25zI1pXomIhksYzrD8pPvynctQugMkNCvWjC54IfvQRDjl3nzKt4SYAWQ,wohuazhanqinglai,66666,420,14,18,897,KSante,242,6.44,4087,4,0,13718,365.16,5.00,6,60.61,6662,6665,3111,3075,2502,NULL,3340,0,NONE,1,200,TOP,175667,49159,242,33,0.878,3,15,W,0,0,0,0,0.00,NULL,NULL,NULL,776.44,NULL,NULL,4,3,8439,8300
SG2_138477569,7,p1sqZlQm-IerMtfTsrXbU-Hj0CdgxgbLycIFQeowNY1-j3PeKmfea8QOzEnCu7-NsifY4tFnhxafqg,Cuzz,TTK1,420,10,18,234,Viego,268,7.13,3078,9,4,18503,492.54,2.56,13,69.70,6672,6676,3111,6673,3036,3026,3364,230,NONE,0,200,JUNGLE,401359,48276,38,44,1.171,4,9,W,1,0,0,0,0.00,NULL,NULL,NULL,936.66,NULL,NULL,4,11,8010,8300
SG2_138477569,8,Jlv0nqJliUd1R0ZBx_e3f67yBstfPexHjPwEkaDsCD1FL8W6kmniTwrZPa1REn8DcvRebw5ihb8SGg,exulansis,lol,420,20,18,61,Orianna,290,7.72,8043,2,0,15395,409.80,12.50,5,75.76,3137,6657,3041,3173,6653,3165,3363,1,DUO,0,200,MIDDLE,224537,27930,289,23,0.612,2,12,W,0,0,0,0,0.00,NULL,NULL,NULL,843.23,NULL,NULL,4,12,8229,8000
SG2_138477569,9,WX0VOYAxNecEIBI0JaS_vO66o6npay-1HX18j-BaG1dKmYlicfT4PVhhxwp7QuB5Sc26WpI8-0tauw,Teahhh,XYZ,420,9,18,804,Yunara,376,10.01,10392,6,0,22202,591.00,3.00,9,54.55,3036,6672,3139,3031,3156,2512,3363,32,DUO,2,200,BOTTOM,355800,31235,344,39,1.038,8,14,W,0,0,0,0,0.00,NULL,NULL,NULL,1120.94,NULL,NULL,4,21,8008,8300
SG2_138477569,10,XOhk4u-vtcq4O6UK-WUJltiU1IDmHkZNInCN1yWpz-yfv4SfGlM5bes-tAPqzBAiNYO-1pLw-CF7cg,"Baby g 2",771,420,24,16,902,Milio,28,0.75,952,8,0,10247,272.77,3.00,0,72.73,3870,6620,3158,6617,3504,3114,3364,0,SOLO,0,200,UTILITY,19524,22680,28,141,3.753,11,63,W,0,0,0,0,0.00,NULL,NULL,NULL,158.86,NULL,NULL,4,7,8465,8300
SG2_138486526,1,CDzatkCVn3el51pZ18k9QEI_RulMiiyTyggr2LlPZ6dTtNTlCJPrQhkbqRDULp5ksnGTLD4W26wRqg,"Mero Colistin",0000,420,4,18,122,Darius,246,7.15,13027,4,0,13669,397.35,2.75,7,33.33,6333,3161,3053,3111,3066,1031,3340,0,NONE,3,100,TOP,193379,38804,246,32,0.930,3,14,L,0,0,0,0,0.00,NULL,NULL,NULL,837.71,NULL,NULL,6,4,8010,8200
SG2_138486526,2,mqKu84ghmG_ubDQZnjPK-CxQwiEY4FGfpzwt1y5ReP0QGFreZVtlTQqa6WYBSgJWK1tjGP91pJGluw,Yumekocomelon,yang,420,8,18,517,Sylas,250,7.27,2288,8,1,14645,425.73,1.75,6,42.42,4633,3157,3152,4645,3158,1058,3364,191,NONE,3,100,JUNGLE,340115,51712,59,31,0.901,7,5,L,0,0,0,0,0.00,NULL,NULL,NULL,567.33,NULL,NULL,11,4,8010,8300
SG2_138486526,3,z0gyvGNGWjJQqHmElmt6YoXZIhEfx-_BvMwucsGjRIMtKxOHStSiIb1i_Go04rnJXEpH-mndR6tEdg,"pinoy kangkarot",ohyes,420,3,18,79,Gragas,243,7.06,19700,12,0,15706,456.57,0.92,8,33.33,3152,3040,3175,3089,3100,4630,3363,18,SOLO,6,100,MIDDLE,236668,42039,225,18,0.523,6,4,L,0,0,0,0,0.00,NULL,NULL,NULL,877.48,NULL,NULL,4,14,8112,8200
SG2_138486526,4,VLZHdDQ3YBBcl55CTo5ZPAeiPlgU96gs55YXlzx4KZWkSkSU9jKy039xiOi7H9iU10-2zJ54RW3M5w,Geewonii,lemon,420,6,16,145,Kaisa,292,8.49,9670,6,1,16547,481.02,2.33,8,42.42,3157,6672,3124,2510,1058,1058,3363,34,CARRY,1,100,BOTTOM,248563,29879,258,40,1.163,8,13,L,1,0,0,0,0.00,NULL,NULL,NULL,942.24,NULL,NULL,21,4,8008,8300
SG2_138486526,5,HEZnAT6856KHP-8AQq9nhXFDoAPr9XQHygSv1Jl1_QGND8Yyuxir7UcSqrhN8Ddm36uVheyGCpKA_w,ChewyTzu,2198,420,12,13,117,Lulu,20,0.58,0,9,0,10132,294.53,1.78,4,48.48,3870,3107,3504,6617,3158,2022,3364,0,SUPPORT,0,100,UTILITY,16777,29298,20,133,3.866,9,49,L,0,0,0,0,0.00,NULL,NULL,NULL,205.80,NULL,NULL,7,4,8465,8300
SG2_138486526,6,rQuXvp4PblZ6wTtSl26qF63SxllcjDEiirouZ37THF59luQ7rA3SXzcAjsC9rr7IfrK56HYjrP4iwg,TKuroko,SG2,420,7,19,14,Sion,242,7.03,2399,6,0,11289,328.17,1.33,1,21.05,2504,3065,3047,6660,3076,1057,3363,0,NONE,0,200,TOP,177869,40369,242,26,0.756,0,12,W,0,0,0,0,0.00,NULL,NULL,NULL,465.12,NULL,NULL,12,4,8437,8300
SG2_138486526,7,Zxd5FABKyBOnH_7JEAPB4MAbeWxrFTDRjq9edeoV_qjnXJzIrAZvCuTGNgSH6fNjy-hzcsVR5AmiLg,5star,prod,420,12,18,246,Qiyana,221,6.42,11519,6,2,19570,568.90,5.00,18,78.95,6698,6695,3158,6694,3814,3026,3364,165,NONE,3,200,JUNGLE,357404,29406,56,28,0.814,4,2,W,0,0,0,0,0.00,NULL,NULL,NULL,1292.49,NULL,NULL,4,11,8369,8100
SG2_138486526,8,tJkSqaaev25JlztJ7blYj7YTRvndgYiF1jn_mZzZQJLWzbPr-69-6MSN7ez91x67DlwR2l13P6YzpA,Taesho,ad1,420,15,18,61,Orianna,225,6.54,4389,7,0,13740,399.42,3.29,8,60.53,1058,4645,2503,1082,3175,3137,3363,0,SOLO,2,200,MIDDLE,180276,24995,225,28,0.814,4,12,W,0,0,0,0,0.00,NULL,NULL,NULL,939.79,NULL,NULL,12,4,8230,8400
SG2_138486526,9,xJO2OLzgR2aRxlHd4lkxaCSWGtgQcKs0M_ZeCHp6uMIeD748xCB8DkJYGGXtsukqqIvABA3FU7K4HA,"honk shoo",Shino,420,10,18,804,Yunara,318,9.24,12335,6,0,21261,618.05,3.50,11,55.26,6673,2512,3033,6672,3031,3072,3363,15,CARRY,2,200,BOTTOM,312692,26640,303,13,0.378,3,7,W,1,0,0,0,0.00,NULL,NULL,NULL,1339.00,NULL,NULL,21,4,8008,8300
SG2_138486526,10,aR-5jG_k_EGiIQ4gkD6wDfHMRqStSMheARZtBhHWcA83pAoFpW0U_hDBn0L8rCCXwSb3Ia7nqUcgUA,lowkeyy,0925,420,24,15,497,Rakan,22,0.64,292,8,0,9860,286.63,3.00,0,63.16,3190,3050,3869,3111,3114,3108,3364,0,SUPPORT,0,200,UTILITY,17203,30608,22,136,3.953,9,58,W,0,0,0,0,0.00,NULL,NULL,NULL,269.96,NULL,NULL,7,4,8360,8100
SG2_138964383,1,VSGtzen7FjIqEIMRvXoP29Y9yNDmKlj4lfcU1k_3ATIqxjyAQuwOWLhsNKkJW60A--FQ1GepdF7iPw,Gardix,Degen,420,2,18,82,Mordekaiser,233,6.34,3676,7,0,13504,367.29,1.43,8,28.57,3116,3047,4633,3075,3065,NULL,3340,0,DUO,1,100,TOP,196487,62082,233,24,0.653,2,9,L,0,0,0,0,0.00,NULL,NULL,NULL,1078.28,NULL,NULL,14,4,8010,8400
SG2_138964383,2,shlIr96NCxwLErLrncCVpg-_3A9x7e7Ix6fjCYFSQvQnnQf9wwJNj1enI0qR2oM3lhkfSWcwLz-n_Q,Shwene,4808,420,17,18,59,JarvanIV,195,5.30,0,7,3,15634,425.22,3.29,6,65.71,3071,6610,3076,3111,3161,3110,3340,162,NONE,1,100,JUNGLE,282581,51765,33,42,1.142,5,14,L,0,0,0,0,0.00,NULL,NULL,NULL,697.88,NULL,NULL,4,11,8010,8300
SG2_138964383,3,IBqplygnoBJ28kvztEzkJnFPNXAV9n24BaYvtm2tm4eiLf1aM66d1NfC3ZqV18L_USvY0VvVex-R6A,stupidcheesecat,MM1Y,420,6,18,84,Akali,208,5.66,2178,10,0,13772,374.58,1.70,11,48.57,3146,4646,4645,3135,NULL,3175,3364,0,DUO,3,100,MIDDLE,187974,49043,208,33,0.898,6,13,L,0,0,0,0,0.00,NULL,NULL,NULL,1130.44,NULL,NULL,14,4,8112,8200
SG2_138964383,4,pgZFOUVPhFlt73oCm_OFfOO7vRbTsdFTwGR9fX-rdcgW6WTVkKFPPNlU7LWc8lHNLOhXtQDJmEugaw,"Susuke Uchiha",BAKAA,420,6,18,202,Jhin,358,9.74,9285,6,0,20471,556.78,2.67,10,45.71,3142,3036,3139,3031,3094,3026,3363,3,CARRY,1,100,BOTTOM,367566,36046,355,29,0.789,3,10,L,0,0,0,0,0.00,NULL,NULL,NULL,1334.85,NULL,NULL,21,4,8021,8200
SG2_138964383,5,Rq-z60wefRQ9ftKbpCp56yWyZJZyInyhpuxkosi7Nez2gcNVeH8TR0pI-4G69augAc7Tgc9Of7gdKg,rainapprentice,rain,420,15,16,147,Seraphine,39,1.06,915,11,0,9912,269.59,1.36,0,42.86,6620,3158,2530,3165,NULL,3870,3364,0,SUPPORT,0,100,UTILITY,59814,38495,39,140,3.808,16,49,L,0,0,0,0,0.00,NULL,NULL,NULL,322.45,NULL,NULL,7,4,8214,8400
SG2_138964383,6,uyS4QZDdlf-JjEspyzTVknLzIKMIS_iqa2G0Gp6dQYPoKgGm2XqBq17KZ_LfikPRUeYP0NNLBemUFQ,"Hiromi Higuruma",time,420,12,20,799,Ambessa,295,8.02,17130,4,1,19558,531.95,6.25,13,60.98,6692,6333,3111,6694,3161,3156,3363,10,NONE,2,200,TOP,275468,46497,285,21,0.571,1,11,W,0,0,0,0,0.00,NULL,NULL,NULL,1670.93,NULL,NULL,12,4,8437,8300
SG2_138964383,7,Zxd5FABKyBOnH_7JEAPB4MAbeWxrFTDRjq9edeoV_qjnXJzIrAZvCuTGNgSH6fNjy-hzcsVR5AmiLg,5star,prod,420,11,18,62,MonkeyKing,233,6.34,5507,6,1,17700,481.41,4.17,14,60.98,3078,6610,3026,2019,3053,3111,3364,202,NONE,1,200,JUNGLE,310085,50491,31,39,1.061,9,5,W,2,0,0,0,0.00,NULL,NULL,NULL,978.65,NULL,NULL,4,11,8010,8300
SG2_138964383,8,TiK9kvo5mk4TQV-HygHxjO-g1mrhZ2nMPln5yBhJC00D7_PxNB914d9okArVsr8o1cgrIrncsem5Uw,soapPROPHET,7777,420,20,18,50,Swain,218,5.93,6489,11,1,14383,391.20,2.36,6,63.41,4633,1082,6653,3173,3118,3050,3340,4,SOLO,3,200,MIDDLE,214186,58084,214,26,0.707,1,14,W,0,0,0,0,0.00,NULL,NULL,NULL,1530.74,NULL,NULL,4,12,8214,8400
SG2_138964383,9,LhYGaQZt8CtHyJ6PSMwpWxguw1j3B8KWUttfk8iDL0Z1eCaK6-GfftVJJdi9pYiDAbuv6KCaKazQKQ,Sniped,1999,420,9,17,901,Smolder,302,8.21,3542,6,0,18511,503.47,2.67,7,39.02,3036,3026,2055,3031,3508,3094,3363,42,CARRY,0,200,BOTTOM,291660,32029,260,27,0.734,3,10,W,0,0,0,0,0.00,NULL,NULL,NULL,904.30,NULL,NULL,21,4,8021,8300
SG2_138964383,10,No1dtGTysH2uluLvXSXeqvq1SOOyCOuGrntkYvZt2uHfepofSI3v0aoAtzHSFLwjHxJ72VH-45Aavw,randomplayer1221,omg,420,21,16,267,Nami,35,0.95,467,8,0,10727,291.76,2.75,1,53.66,3869,3107,3157,4005,1052,3158,3364,0,SUPPORT,0,200,UTILITY,31282,26669,35,133,3.617,16,52,W,0,0,0,0,0.00,NULL,NULL,NULL,428.75,NULL,NULL,4,7,8214,8400
SG2_138974049,1,uyS4QZDdlf-JjEspyzTVknLzIKMIS_iqa2G0Gp6dQYPoKgGm2XqBq17KZ_LfikPRUeYP0NNLBemUFQ,"Hiromi Higuruma",time,420,10,18,516,Ornn,241,7.68,9773,3,0,13350,425.61,5.00,5,50.00,6665,3143,2525,3047,3068,NULL,3363,0,NONE,0,100,TOP,169012,37169,241,15,0.478,1,8,L,0,0,0,0,0.00,NULL,NULL,NULL,638.35,NULL,NULL,12,4,8437,8300
SG2_138974049,2,Zxd5FABKyBOnH_7JEAPB4MAbeWxrFTDRjq9edeoV_qjnXJzIrAZvCuTGNgSH6fNjy-hzcsVR5AmiLg,5star,prod,420,14,16,64,LeeSin,200,6.38,1911,6,1,13018,415.03,3.67,8,73.33,6698,6696,1028,3036,3134,3047,3340,157,NONE,1,100,JUNGLE,247172,32487,43,45,1.435,2,20,L,0,0,0,0,0.00,NULL,NULL,NULL,699.07,NULL,NULL,4,11,8112,8300
SG2_138974049,3,Z2UcVAewVieHhwlWSir9zGqWM6C0lkiaoWUEknilqgk7kkaQDcboOvMbVnfnfUTmUvrsOXrPNSk9Bg,3nchizen19,00100,420,8,16,8,Vladimir,215,6.85,3079,11,0,12114,386.21,1.36,7,50.00,3089,1082,3152,3171,4633,4630,3363,4,SOLO,2,100,MIDDLE,170476,50103,211,12,0.383,2,9,L,0,0,0,0,0.00,NULL,NULL,NULL,829.78,NULL,NULL,4,6,8214,8000
SG2_138974049,4,0vcqqDpMIZtiuosQ9ZY-wMbSZyBsJ3Pggw0IEH9U0yT6p7JgXLCRnq-JrdwyvVldEuJgTshfZNYMAA,evasion,0303,420,5,14,804,Yunara,201,6.41,3898,7,0,12928,412.16,1.29,4,30.00,1055,6672,2512,3031,3035,NULL,3363,0,CARRY,0,100,BOTTOM,125020,23378,201,15,0.478,1,8,L,0,0,0,0,0.00,NULL,NULL,NULL,629.85,NULL,NULL,21,4,8008,8300
SG2_138974049,5,PkaISbT1V2i98Sfk-EEn2d4PDA9Ooywh63XW4sj7VPzRfhsXqaRtpLTqEYXFjQQVUrKnjpVYUOeiyg,Ravonen11,11111,420,14,14,63,Brand,39,1.24,590,8,0,10125,322.79,2.50,6,66.67,3869,3116,3158,6653,4630,1026,3364,0,SUPPORT,1,100,UTILITY,52207,32284,39,110,3.507,11,45,L,0,0,0,0,0.00,NULL,NULL,NULL,650.69,NULL,NULL,4,3,8229,8300
SG2_138974049,6,P1L0fsLEes1XH6g1rDx18tlUREzEKdc1Ff1frmYqueN4TZAnqfDFhbvfagyneAua7DF-2NUNLD_7zg,"INSTAR DOG BUY",SG2,420,4,20,41,Gangplank,325,10.36,7924,2,0,19624,625.63,5.50,7,31.43,3508,3031,6673,3036,3161,3047,3363,8,NONE,1,200,TOP,381126,25942,317,29,0.925,3,13,W,0,0,0,0,0.00,NULL,NULL,NULL,1315.01,NULL,NULL,12,4,8369,8000
SG2_138974049,7,SOEzi-_hySpAGVRHD7_ebgi38XwjaWRQQeASL9SDbSU7Au1pRlduKJ_SeNt6aH14FtTRBdx4UQ6wHA,陌生人,SG2,420,8,17,203,Kindred,242,7.72,1429,7,3,14414,459.53,2.00,6,40.00,6676,3078,3006,3036,1018,1038,3364,214,NONE,1,200,JUNGLE,337625,30800,28,32,1.020,7,4,W,2,0,0,0,0.00,NULL,NULL,NULL,598.62,NULL,NULL,11,4,8005,8100
SG2_138974049,8,djdV3LNmRLAzQnLAxx3L7sf4PijD6HMufQ0q52Pyq0OeBObXVr03QmNcIls_F226dhIDlLYZJVweXA,"Muted Chat",IVoDI,420,9,15,910,Hwei,168,5.36,6320,9,0,11552,368.29,1.78,7,45.71,3165,4645,1052,NULL,3175,6655,3363,0,SOLO,2,200,MIDDLE,131698,28253,168,22,0.701,2,14,W,0,0,0,0,0.00,NULL,NULL,NULL,1045.64,NULL,NULL,12,4,8229,8300
